URL,Strategy,Performance,Accessibility,Best Practices,SEO,LCP (ms),FID (ms),CLS,FCP (ms),TTI (ms),Speed Index,Total Blocking Time (ms)
https://brainco-website-seo.vercel.app,mobile,70,100,96,100,2101,69,0.878,1201,3528,5451,13
https://brainco-website-seo.vercel.app,desktop,70,100,96,100,601,84,0.888,326,912,2374,33
https://brainco-website-seo.vercel.app/products,mobile,95,98,96,100,2776,62,0.000,1201,3497,2951,9
https://brainco-website-seo.vercel.app/products,desktop,100,98,96,100,601,46,0.004,281,601,936,0
https://brainco-website-seo.vercel.app/products/brain-robotics,mobile,57,100,96,92,3826,146,1.003,1201,8534,6487,80
https://brainco-website-seo.vercel.app/products/brain-robotics,desktop,48,100,96,92,3849,84,0.882,324,3931,2881,95
https://brainco-website-seo.vercel.app/products/mobius,mobile,49,100,96,92,5102,169,1.003,1201,7310,7184,85
https://brainco-website-seo.vercel.app/products/mobius,desktop,64,100,96,92,1603,62,0.882,281,1880,2643,9
https://brainco-website-seo.vercel.app/products/revo1,mobile,90,100,92,92,2401,225,0.104,1201,4160,4700,149
https://brainco-website-seo.vercel.app/products/revo1,desktop,70,96,92,92,1175,120,0.852,302,1200,1979,35
https://brainco-website-seo.vercel.app/products/revo2,mobile,56,96,92,92,4201,141,1.003,1201,4474,6333,52
https://brainco-website-seo.vercel.app/products/revo2,desktop,71,100,92,92,1320,91,0.882,328,1395,1364,59
https://brainco-website-seo.vercel.app/health/easleep,mobile,56,96,96,92,4107,112,1.003,1201,7263,6266,38
https://brainco-website-seo.vercel.app/health/easleep,desktop,43,100,96,92,5883,142,0.882,306,6019,3486,92
https://brainco-website-seo.vercel.app/health/oxyzen,mobile,89,100,92,92,2176,150,0.003,1201,3841,13212,64
https://brainco-website-seo.vercel.app/health/oxyzen,desktop,59,100,96,92,1821,95,0.882,324,2166,3657,44
https://brainco-website-seo.vercel.app/health/focus-zen,mobile,41,100,92,92,10113,124,1.003,1201,11312,11256,37
https://brainco-website-seo.vercel.app/health/focus-zen,desktop,90,100,92,92,404,64,0.000,313,404,6468,0
https://brainco-website-seo.vercel.app/health/focus-xin,mobile,53,96,92,92,5029,156,1.003,1201,5397,4722,68
https://brainco-website-seo.vercel.app/health/focus-xin,desktop,69,95,96,92,1201,70,0.882,288,1435,2071,10
https://brainco-website-seo.vercel.app/health/starkids,mobile,67,95,92,92,2401,93,1.003,1201,3963,6559,26
https://brainco-website-seo.vercel.app/health/starkids,desktop,61,95,92,92,2022,79,1.225,304,2044,2189,22
https://brainco-website-seo.vercel.app/education/brain-ai,mobile,91,100,92,92,1876,131,0.045,1201,4181,8263,68
https://brainco-website-seo.vercel.app/education/brain-ai,desktop,56,100,92,92,2602,118,0.882,318,2634,2422,83
https://brainco-website-seo.vercel.app/about,mobile,70,100,96,100,5326,144,0.161,1051,6618,4837,21
https://brainco-website-seo.vercel.app/about,desktop,93,100,96,100,1562,71,0.000,323,1606,1537,26
https://brainco-website-seo.vercel.app/contact,mobile,63,94,96,100,6677,259,0.173,1170,6715,6022,67
https://brainco-website-seo.vercel.app/contact,desktop,93,100,100,100,781,58,0.000,406,912,2578,4
https://brainco-website-seo.vercel.app/company,mobile,96,100,96,92,2626,60,0.000,1201,2751,2588,5
https://brainco-website-seo.vercel.app/company,desktop,100,100,96,92,561,76,0.007,320,561,823,0
https://brainco-website-seo.vercel.app/technology,mobile,92,95,92,100,2926,148,0.001,1201,3375,4356,60
https://brainco-website-seo.vercel.app/technology,desktop,96,100,92,100,731,119,0.000,378,874,1900,62
https://brainco-website-seo.vercel.app/news,mobile,68,92,96,100,6055,250,0.000,1318,11413,11710,63
https://brainco-website-seo.vercel.app/news,desktop,91,96,100,100,778,133,0.000,425,2140,3936,29
https://brainco-website-seo.vercel.app/recruit,mobile,54,100,96,100,9152,153,0.336,1059,9287,5452,33
https://brainco-website-seo.vercel.app/recruit,desktop,85,100,96,100,1878,104,0.000,349,2570,2720,45
https://brainco-website-seo.vercel.app/recruit/jobs,mobile,98,100,92,92,2326,53,0.000,1201,2610,2996,2
https://brainco-website-seo.vercel.app/recruit/jobs,desktop,100,97,96,92,495,114,0.000,338,786,1101,40
https://brainco-website-seo.vercel.app/easleep-specification,mobile,78,100,100,100,4417,49,0.037,1201,4420,6672,0
https://brainco-website-seo.vercel.app/easleep-specification,desktop,93,97,100,100,1067,51,0.008,281,1069,2447,1
https://brainco-website-seo.vercel.app/en-US,mobile,69,100,92,100,3076,107,0.877,1201,3555,3323,60
https://brainco-website-seo.vercel.app/en-US,desktop,75,100,96,100,561,65,0.888,281,890,1161,8
https://brainco-website-seo.vercel.app/en-US/products,mobile,97,98,92,100,2251,50,0.001,1201,2251,3362,0
https://brainco-website-seo.vercel.app/en-US/products,desktop,100,98,96,100,529,74,0.004,283,898,948,16
https://brainco-website-seo.vercel.app/en-US/products/brain-robotics,mobile,61,100,92,92,2837,121,1.002,1201,4335,13086,67
https://brainco-website-seo.vercel.app/en-US/products/brain-robotics,desktop,49,100,96,92,3664,59,0.882,281,3732,2907,17
https://brainco-website-seo.vercel.app/en-US/products/mobius,mobile,45,100,96,100,6228,91,1.002,1202,7178,8338,23
